steps	episodes	elapsed	mean	median	stdev	max	min	low_con_average_q1	low_con_average_q2	low_con_average_q_func1_loss	low_con_average_q_func2_loss	low_con_average_policy_loss	low_con_q1_recent_variance	low_con_q2_recent_variance	low_con_policy_gradients_variance	low_con_policy_gradients_mean	low_con_policy_n_updates	low_con_q_func_n_updates	high_con_average_q1	high_con_average_q2	high_con_average_q_func1_loss	high_con_average_q_func2_loss	high_con_average_policy_loss	high_con_q1_recent_variance	high_con_q2_recent_variance	high_con_policy_gradients_variance	high_con_policy_gradients_mean	high_con_policy_n_updates	high_con_q_func_n_updates	final_x	final_y	final_z	state_reached_diff	state_reached_direction_diff	subgoals_mag_diff	subgoals_direction_diff
5007	7	110.06643891334534	-169.36853847008047	-165.5202822589478	135.43831736608945	-0.012440305957594152	-359.43572988465127	-28.669828	-28.683504	1.096945171058178	1.0922429621219636	22.322750568389893	800.6246	789.70807	0.0	0.0	1254	2508	-0.33296046	-0.33183846	0.0006959939521038905	0.0007164954347535968	0.2528156200796366	0.004052168	0.004099864	0.0	0.0	126	253	0.7333194561788114	0.9151211639348842	-0.039567389002005515	0.5683329024310922	0.44549731509318097	0.004273971585572199	0.9999773351144127
10013	13	260.3972613811493	-226.190077168119	-242.78006137048652	115.11374590300467	-0.04809665866132503	-413.0525022391796	-65.14476	-65.062965	2.409690576791763	2.394592640399933	61.717569503784176	1950.9971	1879.2985	0.0	0.0	3757	7514	-0.5436219	-0.54309475	0.00042268779638106937	0.0005338205071166158	0.48313520073890687	0.0208061	0.021130431	0.0	0.0	377	754	-0.5984660957630005	-0.536601011011753	0.7234342494656254	0.9941625232688357	-0.33264085595970266	1.1604317806966402	-0.03316115437609879
15021	21	390.1590850353241	-107.76540302045623	-126.38337620437693	106.24389273156054	-0.058989917312232826	-310.752512307174	-105.832565	-105.80227	3.274954069852829	3.205971790552139	101.41890174865722	6764.9453	6793.263	0.0	0.0	6261	12522	-0.74765027	-0.74750155	0.00035843015066348014	0.00040599126237793825	0.6870234477519989	0.038844835	0.038653962	0.0	0.0	627	1255	-1.0854079095222045	-0.021625763323660396	-0.17315464496930377	0.7334400330151796	0.5677059984802061	2.246473564373313	-0.38614685255323383
20026	26	542.9925751686096	-209.30532480311237	-203.50366867025718	98.60677100972079	-0.05665540339407361	-326.68311131422956	-135.15022	-134.81337	4.015295057296753	3.8502955555915834	133.77771293640137	8559.549	8390.69	0.0	0.0	8763	17527	-0.9412097	-0.9408021	0.0004575371919781901	0.00039394496023305694	0.8855042481422424	0.054706614	0.05449155	0.0	0.0	877	1755	0.5946651467494934	0.5001300293246831	0.48137058234305585	0.9488990594983757	-0.3367640175056258	0.00020894754386128865	0.9999999785055002
25031	31	680.1320064067841	-125.74784411126922	-154.89850126379127	95.12836511749424	-0.06522150782396648	-269.5540233893827	-167.95676	-168.02245	3.9044257652759553	3.794987192153931	159.781649017334	10153.451	9987.604	0.0	0.0	11266	22532	-1.1464354	-1.1462505	0.0005098528121015988	0.0005978550897270907	1.0956043267250062	0.08884269	0.088615015	0.0	0.0	1128	2256	0.6053623728696198	0.3478233100356014	-0.6019873457150315	1.0746819026231387	-0.846739727585162	0.0017627828622223637	0.9999996192471697
30567	37	834.9293632507324	-188.3676759828998	-211.57024945969272	115.806888847003	-0.05652727217796906	-310.7497653135121	-201.57172	-201.89668	5.737961546182633	5.560265190601349	193.71440704345704	15424.5	15523.028	0.0	0.0	14034	28068	-1.353504	-1.3548429	0.0006765786730102264	0.0006139503492158838	1.3096668994426728	0.13770898	0.13529672	0.0	0.0	1404	2809	-0.9607242674387171	0.14470317148459322	-0.6149745943402416	1.4787623085363015	0.6697355269813279	0.008869718527467785	0.999990080160718
35573	43	967.0085728168488	-129.30111823440777	-121.08352408630867	135.13755555835135	-0.023947195046645525	-376.75128872513693	-231.45032	-231.34459	5.787428822517395	5.729268755912781	223.26771911621094	26299.715	26347.121	0.0	0.0	16537	33074	-1.5727346	-1.5721184	0.0011041405698051677	0.0010405471341800876	1.510853909254074	0.17244539	0.1720823	0.0	0.0	1655	3310	-1.0845446099211644	-0.025682271271608048	-0.17456113286025	0.6911775032882573	-0.7704585430899816	1.628275407712367	-0.055999125767101504
40692	51	1105.4522001743317	-164.52732238305578	-183.7765050754591	131.16409395544832	-0.08287428013559807	-310.7644536845122	-252.22203	-252.20566	7.312251734733581	7.295119435787201	249.46418731689454	21142.746	22339.771	0.0	0.0	19096	38193	-1.7899878	-1.7908456	0.0006757120694965125	0.0007308176378137432	1.7413945746421815	0.24365143	0.24160719	0.0	0.0	1911	3822	-1.0840193036438106	-0.02533432539453595	-0.17506799050656763	0.9057910413357819	0.7150871249794354	1.6195537259379198	0.39268306047718093
45699	58	1261.081069469452	-288.53656386806045	-226.94127059628968	246.2624711707768	-31.90318923452213	-918.3294247772088	-276.87347	-277.27817	8.583079833984375	8.43040185213089	271.11998748779297	21666.387	22554.605	0.0	0.0	21600	43200	-2.0171177	-2.016468	0.0008051510201767087	0.0008389492088463158	1.9829219150543214	0.337323	0.3368803	0.0	0.0	2161	4322	-1.0852517930171612	-0.02041352861239709	-0.1734203389937976	1.55345275973606	0.1870923847411527	0.006133462981047826	0.9999924783565347
50255	63	1394.0221121311188	-311.93348775688696	-223.32751941387852	274.1039195161097	-0.0827290131708936	-669.4091557269935	-294.64392	-294.76904	8.015986018180847	7.944310159683227	295.1786834716797	15924.888	16017.831	0.0	0.0	23878	47756	-2.260073	-2.2602096	0.001118735363415908	0.0011788319412153214	2.175943830013275	0.4509882	0.44954467	0.0	0.0	2389	4778	1.7049525590667964	-0.8335493392572129	-0.5759611462697551	1.8304305173115516	-0.6142130260513609	0.02765926789631915	0.9999289001447115
